Req ID,Source,Section,Subsection,Subsection Title,Specification,Simple Description,Relation To,Milestone,Timing/Deadline,Category,Deliverable Type,Responsibility,Notes,Due Date,Status,Status Notes,Location,WSDOT Lead,Column1
002-092,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.4.17,Maintenance Access,WSDOT stormwater facilities shall include information plates to aid in identification of maintenance needs at facilities that will be constructed or modified as part of this Project in accordance with the Mandatory Standards.,Install information plates on WSDOT stormwater facilities,At,Handover,At project closeout,Physical Work,Construction Activities,Design-Builder,Aids in identification of maintenance needs; must comply with Mandatory Standards; applies to all WSDOT stormwater facilities constructed or modified by Project,,Not Started,,,RB,
002-093,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.6,As-Built Plans,The Design-Builder shall submit As-Built Plans in accordance with Sections 2.12 and 2.28 and shall include but not be limited to the following: • Calculations for revisions made during construction,Submit As-Built Plans with calculations for construction revisions,Upon,Handover,Upon completion of the Work,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Must comply with Sections 2.12 and 2.28; must include all revisions made during construction,,Not Started,,,RB,
002-094,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.6.1,As-Built Supplemental Hydraulic Report,"The Design-Builder shall include all changes in the original design during construction into a single As-Built Supplemental Hydraulic Report. The As-Built Supplemental Hydraulic Report shall incorporate the final as-built documentation. Before the As-Built Supplemental Hydraulic Report is finalized, the Drainage Lead Engineer shall field verify the as-built conditions. In addition the As-Built Supplemental Hydraulic Report shall include but not be limited to the following: • Drainage Existing Condition Survey • Downstream Analysis that identifies system capacity and condition • Calculations for revisions made during construction",Submit As-Built Supplemental Hydraulic Report with field-verified as-built conditions,Upon,Handover,Upon completion of the Work,Closeout/Final Records,Reports,Design-Builder,"Must incorporate all design changes during construction; Drainage Lead Engineer must field verify conditions; must include stamp, signature, and HRM training certificate number",,Not Started,,,RB,
002-095,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.6.1,As-Built Supplemental Hydraulic Report,"The submittal shall include each As-Built Supplemental Hydraulic Report in electronic form on a flash drive, complete with all associated drawing files (MicroStation format), electronic versions of spreadsheets, calculations, documents (Microsoft Word format), and hydrologic/hydraulic models; and a searchable pdf copy of the As-Built Supplemental Hydraulic Report.",Submit As-Built Supplemental Hydraulic Report electronic files on flash drive,Upon,Handover,Upon completion of the Work,Closeout/Final Records,Reports,Design-Builder,"Must include MicroStation drawing files, Excel spreadsheets, Word documents, hydrologic/hydraulic models, and searchable PDF; delivered on flash drive",,Not Started,,,RB,
002-096,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.9,List of Other Submittals,"Other Project submittals include, but are not limited to, the following: • Manufacturers' product information and installation and maintenance requirements for proposed items not included in the Mandatory Standards. • Final submittal of electronic files in searchable pdf format and all calculations, documents, and drawings files. All electronic files shall be in accordance with the requirements of the Montlake Project Electronic Documents Policy (July 2020).",Submit final electronic files in searchable PDF format per project policy,Upon,Handover,Upon completion of the Work,Closeout/Final Records,Records,Design-Builder,"Must include all calculations, documents, and drawing files; must comply with Montlake Project Electronic Documents Policy (July 2020); includes manufacturer information for non-standard items",,Not Started,,,RB,
002-097,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,"The Design-Builder shall prepare a Drainage Maintenance Manual that describes the 'what' and 'when' maintenance procedures for all Project drainage facilities, including the maintenance requirements for the storm drainage, flow control, and runoff treatment facilities. Refer to the Drainage Maintenance Manual Plan Sheets (Appendix H12) for examples. The Drainage Maintenance Manual shall include individual BMP Maintenance Plans for each flow control and runoff treatment BMP that describes the as-built facilities, location of the facilities and maintenance procedures.",Prepare Drainage Maintenance Manual with maintenance procedures for all drainage facilities,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Must include individual BMP Maintenance Plans; see Appendix H12 for examples,,Located,"Located the manual but it is not in folder 19.22 Verify that this is the approved document KW
ZA: DSUB 260 was submitted in Jan 2021. The submittal is named Preliminary Stormwater Maintenance Manual rather than Drainage. Is there a final plan to follow the preliminary plan or is this everything? Comments appear to be resolved, but the revised document was not included as an attatchment with the review. RFI 812 requested clarifiaction on quantity of hard copies in May 2025. 
10/27 ZA will find out if Stormwater=Drainage, and if there will be a Final version submitted.",DSUB-00260,RB,
002-098,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,"The Drainage Maintenance Manual that describes the 'what' and 'when' maintenance procedures for all Project drainage facilities. Each separate BMP Maintenance Plan shall include: • A vicinity map showing the location of the BMP using State Route and mileposts, stations and offsets, longitude and latitude.",Include vicinity maps in BMP Maintenance Plans showing facility locations,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,"Part of Drainage Maintenance Manual; vicinity maps must show State Route, mileposts, stations/offsets, longitude/latitude",,Pending,"KW - map in the Stormwater Maint manual contains stationing, SRs etc.starting on page 9",Stormwater Maintenance Manual,RB,
002-099,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,"Each separate BMP Maintenance Plan shall include: • Information sheets that documents the facility type, agency responsible for maintenance, the design and construction job number, the title of the Supplemental Hydraulic Report, plan preparation date, BMP description, space to include a feature number, and any remarks of special design features such as pond liners, maintenance valves, load limitations, venting requirements or any other special features.",Include information sheets documenting facility details and special features in BMP Maintenance Plans,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,"Part of Drainage Maintenance Manual; must document facility type, responsible agency, job numbers, special features",,Pending,KW - Table 3.1 on pg 16 of the Stormwater Maint Manual,,RB,
002-100,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,Each separate BMP Maintenance Plan shall include: • An enlarged aerial photograph shall be included showing the BMP and its vicinity. The scale of this photo will vary depending on the BMP type. The scale of the photo should allow the BMP to be clearly visible for general layout and its design elements.,Include enlarged aerial photographs of each BMP in Maintenance Plans,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of Drainage Maintenance Manual; scale must allow BMP to be clearly visible,,Pending,KW - See Stormwater Maint manual starting Appendix B,,RB,
002-101,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,"Each separate BMP Maintenance Plan shall include: • An established control point, survey benchmark within 100 feet of the BMP. The survey benchmark shall be in the same Project horizontal and vertical datum.",Include survey benchmark within 100 feet of each BMP in Maintenance Plans,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of Drainage Maintenance Manual; benchmark must be in same project datum,,Pending,KW - See Stormwater Maint manual starting Appendix B,,RB,
002-102,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,Each separate BMP Maintenance Plan shall include: • Guideposts showing the type of BMP in the field per Section 5-4.3.7 of the WSDOT Highway Runoff Manual (Appendix D6).,Document guideposts showing BMP type in Maintenance Plans,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of Drainage Maintenance Manual; must comply with WSDOT Highway Runoff Manual Section 5-4.3.7,,Pending,KW - See Stormwater Maint manual starting Appendix B,,RB,
002-103,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,Each separate BMP Maintenance Plan shall include: • Maintenance frequency as dictated in the WSDOT Highway Runoff Manual (Appendix D6) or NPDES-Construction Stormwater General Permit (Appendix E38).,Include maintenance frequency requirements in BMP Maintenance Plans,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of Drainage Maintenance Manual; frequency per Highway Runoff Manual or NPDES permit,,Pending,KW - Stormwater Maint manual,,RB,
002-104,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,"Each separate BMP Maintenance Plan shall include: • Maintenance procedures for the BMP. On the Drainage Maintenance Plans, highlight the areas that need to be maintained, describe the maintenance activity that need to be done in each highlighted area.",Include maintenance procedures with highlighted areas in BMP Maintenance Plans,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of Drainage Maintenance Manual; must highlight areas and describe specific maintenance activities,,Pending,KW - Stormwater Maint manual,,RB,
002-105,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,"Each separate BMP Maintenance Plan shall include: • Include a description of the BMP used and how it functions, special maintenance procedures, as well as a complete set of As-Built Plans showing design details for each element of the feature. The complete set of As-Built Plans shall include all the plan sheets, cross-sections, and detail sheets for the BMP.","Include BMP description, function, and complete As-Built Plans in Maintenance Plans",Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,"Part of Drainage Maintenance Manual; must include plan sheets, cross-sections, and details",,Pending,KW - Stormwater Maint manual,,RB,
002-106,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,Each separate BMP Maintenance Plan shall include: • Include landscaping plans for any runoff treatment facilities that include specific plants for their function.,Include landscaping plans for vegetated runoff treatment facilities in Maintenance Plans,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of Drainage Maintenance Manual; only for facilities with specific plants for treatment function,,Pending,KW - Stormwater Maint manual,,RB,
002-107,Technical Requirements (RFP Chapter 2),2.14 Hydraulics,2.14.6.10,Drainage Maintenance Manual,"The Design-Builder shall include a tabulation of quantities for new stormwater facilities including, but not limited to, manholes, catch basins, linear feet of storm drain pipe, sand filters, vegetated filter strip, biofiltration swale, linear feet of media filter drain, acres of pond site, and linear feet fencing.",Include tabulation of quantities for new stormwater facilities in Drainage Maintenance Manual,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of Drainage Maintenance Manual; must tabulate all stormwater facility quantities,,Pending,KW - Stormwater Maint manual,,RB,
002-108,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.4.3.2.2,Supervisory Control and Data Acquisition (SCADA) System,"Prior to Substantial Completion, the Design-Builder shall provide WSDOT with one heavy duty, fully rugged laptop computer with all lighting control software, programs, software documentation, and operation manuals installed. The laptop computer shall be able to connect to the Montlake Underlid lighting controller and SCADA remotely over the WSDOT ITS network, or locally at the Montlake Underlid lighting controller and SCADA for configuring the Montlake Underlid lighting controller, generating system reports, uploading event logs, and monitoring the system status.",Provide rugged laptop with lighting control software and documentation,Prior to,Substantial Completion,Prior to Substantial Completion,Closeout/Final Records,Spare Parts,Design-Builder,"Laptop must be MIL-STD-810G and IP65 certified with minimum 14-inch display, 2 GHz processor, 8 GB RAM, 250 GB SSD; includes remote connectivity capability over WSDOT ITS network; demonstration required as part of training",,Complete,ZA: Closed - Approved,GRA-MAT-00902,PA,
002-119,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.5.7,System Integration,Refer to 2.34 System Integration and Commissioning for requirements,"Complete system integration, commissioning and training per Section 2.34",Prior to,Physical Completion,At handover,Testing & Commissioning,Training Materials/Videos,Design-Builder,"Cross-reference to Section 2.34 for detailed requirements; includes system integration, commissioning activities, and training programs; found via handover keywords: commissioning, training",,In Progress,,,PA,
002-120,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.5.8,Final Electrical Inspection,"The Design-Builder shall notify WSDOT when all electrical requirements have been met in accordance with these Technical Requirements, including field installations, testing and commissioning, training, and documentation, with a written statement, including the signature of the CQAM, that all equipment has been installed properly, started up, passed the operational acceptance testing, and is ready for final electrical inspection by WSDOT and the local agencies. The written notification shall be submitted to WSDOT and the local agencies at least 14 Calendar Days in advance of the final electrical inspection.",Provide 14-day advance notice for final electrical inspection,Prior to,Physical Completion,At least 14 calendar days prior to final electrical inspection,Administrative & Financial,Reports,Design-Builder,"Written statement must include CQAM signature; confirms field installations, testing, commissioning, training, and documentation complete; 14-day advance notice to WSDOT and local agencies",,In Progress,,,PA,
002-121,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.5.8,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit to WSDOT and the local agencies for Review and Comment the following documents: As-Built Plans for the electrical Work; Documentation including all tests, testing procedures, results, and corrections made; Operation and maintenance manuals for all systems installed.","Submit as-built plans, test documentation, and O&M manuals before final inspection",Prior to,Physical Completion,Prior to final electrical inspection,Operations & Maintenance,As-Built Plans/Drawings,Design-Builder,"Three-part submittal: (1) As-Built Plans for electrical work, (2) Complete test documentation including procedures, results, and corrections, (3) O&M manuals for all installed systems",,In Progress,,,PA,
002-122,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.5.9,Warranty,"Upon Physical Completion, the Design-Builder shall provide a warranty as required below: A minimum 10-year warranty for all WSDOT roadway, underlid, and pedestrian luminaires.",Provide 10-year warranty for WSDOT luminaires,Upon,Physical Completion,Upon Physical Completion,Quality & Compliance,Warranties & Certifications,Design-Builder,"Covers WSDOT roadway, underlid, and pedestrian luminaires; 10-year minimum duration; warranty period begins at Physical Completion",,In Progress,,,PA,
002-123,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.5.9,Warranty,"Upon Physical Completion, the Design-Builder shall provide a warranty as required below: A minimum 5-year warranty as required by local agency's Mandatory Standards, whichever is greater, for local agency's luminaires.",Provide 5-year warranty for local agency luminaires,Upon,Physical Completion,Upon Physical Completion,Quality & Compliance,Warranties & Certifications,Design-Builder,"Covers local agency luminaires; 5-year minimum or per agency standards, whichever is greater; warranty period begins at Physical Completion",,In Progress,,,PA,
002-124,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.5.9,Warranty,"Upon Physical Completion, the Design-Builder shall provide a warranty as required below: A minimum 10-year warranty for the dimming control units for the Montlake Underlid luminaires.",Provide 10-year warranty for Montlake Underlid dimming control units,Upon,Physical Completion,Upon Physical Completion,Quality & Compliance,Warranties & Certifications,Design-Builder,Specific to dimming control units for Montlake Underlid luminaires; 10-year minimum duration; warranty period begins at Physical Completion,,In Progress,,,PA,
002-125,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.5.9,Warranty,"Upon Physical Completion, the Design-Builder shall provide a warranty as required below: A minimum 5-year warranty for the Montlake Underlid lighting control system.",Provide 5-year warranty for Montlake Underlid lighting control system,Upon,Physical Completion,Upon Physical Completion,Quality & Compliance,Warranties & Certifications,Design-Builder,Covers complete Montlake Underlid lighting control system; 5-year minimum duration; warranty period begins at Physical Completion,,In Progress,,,PA,
002-126,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.6.7,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: Software and software documentation; O&M manuals; Training materials and recorded training video.,Submit software and documentation before Substantial Completion,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,"Three-part deliverable: (1) Software and documentation, (2) O&M manuals, (3) Training materials with recorded video; per Section 2.34 requirements",,Due,KW - underlid lighting is part of the Global Impacts suit - this is potentially the cause for delay,,PA,
002-126.1,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.6.7,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: Software and software documentation; O&M manuals; Training materials and recorded training video.,Submit O&M manuals before Substantial Completion,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,"Three-part deliverable: (1) Software and documentation, (2) O&M manuals, (3) Training materials with recorded video; per Section 2.34 requirements",,Located,Located the manual at 40.07 Verify that this is the approved document KW Document say Preliminary in the title.,9015-GRA-40.07 PRE-Operation and Maintenance Manual - Illumination Vol.4,PA,
002-126.2,Technical Requirements (RFP Chapter 2),2.16 Illumination,2.16.6.7,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: Software and software documentation; O&M manuals; Training materials and recorded training video.,Submit training materials and recorded training video before Substantial Completion,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,"Three-part deliverable: (1) Software and documentation, (2) O&M manuals, (3) Training materials with recorded video; per Section 2.34 requirements",,Located,Located at 40.07 verification needed KW,9015-GRA-40.07 FIN Illumination (Operations Training Manual),PA,
002-127,Technical Requirements (RFP Chapter 2),2.17 Traffic Signals,2.17.5.10,Training,The Design-Builder shall provide operation and maintenance training for the traffic signal systems.,Provide O&M training for traffic signal systems,For,Handover,For ongoing operations,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,Found via handover keyword: training,,Not Started,,,PA,
002-131,Technical Requirements (RFP Chapter 2),2.17 Traffic Signals,2.17.6.5,As-Built Plans,The Design-Builder shall submit As-Built Plans in accordance with Sections 2.12 and 2.28.,Submit as-built plans for traffic signals,Upon,Handover,Upon completion of the Work,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Cross-reference to Sections 2.12 and 2.28 for detailed requirements; found via handover keyword: as-built,,Not Started,,,PA,
002-132,Technical Requirements (RFP Chapter 2),2.17 Traffic Signals,2.17.6.6,Test Documentation,"Test documentation shall be submitted in accordance with this Section, with all test documentation submitted prior to Substantial Completion to include, but not be limited to, the following: • Pre-Tests of Existing Equipment",Submit pre-tests of existing equipment,Prior to,Substantial Completion,Prior to Substantial Completion,Testing & Commissioning,Testing Documentation,Design-Builder,Part of multi-item test documentation submittal; see 002-132 through 002-135,,Located,Located at 40.06 KW Verification needed,9015-GRA-40.06 Functional Performance Test Template - Volume 12 Traffic Signals,PA,
002-133,Technical Requirements (RFP Chapter 2),2.17 Traffic Signals,2.17.6.6,Test Documentation,"Test documentation shall be submitted in accordance with this Section, with all test documentation submitted prior to Substantial Completion to include, but not be limited to, the following: • Instrumentation Documentation",Submit instrumentation documentation,Prior to,Substantial Completion,Prior to Substantial Completion,Testing & Commissioning,Testing Documentation,Design-Builder,Part of multi-item test documentation submittal; see 002-131 and 002-133 through 002-135,,Due,"ZA: No forms found for 2.17.6.6, only 2.17.6.2",,PA,
002-134,Technical Requirements (RFP Chapter 2),2.17 Traffic Signals,2.17.6.6,Test Documentation,"Test documentation shall be submitted in accordance with this Section, with all test documentation submitted prior to Substantial Completion to include, but not be limited to, the following: • Test Reports",Submit test reports,Prior to,Substantial Completion,Prior to Substantial Completion,Testing & Commissioning,Reports,Design-Builder,Part of multi-item test documentation submittal; see 002-131 through 002-132 and 002-134 through 002-135,,Due,"ZA: No forms found for 2.17.6.6, only 2.17.6.2",,PA,
002-135,Technical Requirements (RFP Chapter 2),2.17 Traffic Signals,2.17.6.6,Test Documentation,"Test documentation shall be submitted in accordance with this Section, with all test documentation submitted prior to Substantial Completion to include, but not be limited to, the following: • Test Plans",Submit test plans,Prior to,Substantial Completion,Prior to Substantial Completion,Testing & Commissioning,Reports,Design-Builder,Part of multi-item test documentation submittal; see 002-131 through 002-133 and 002-135,,Due,"ZA: No forms found for 2.17.6.6, only 2.17.6.2",,PA,
002-136,Technical Requirements (RFP Chapter 2),2.17 Traffic Signals,2.17.6.6,Test Documentation,"Test documentation shall be submitted in accordance with this Section, with all test documentation submitted prior to Substantial Completion to include, but not be limited to, the following: • Written Notification for Final Electrical Inspection (o As-built plans for the electrical work o Documentation including all tests, testing procedures, results and corrections made o Operation and maintenance manuals for all systems installed)","Submit written notification for final electrical inspection with as-built plans, test documentation, and O&M manuals",Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Reports,Design-Builder,"Part of multi-item test documentation submittal; includes three sub-items (as-built plans, test documentation, O&M manuals); see 002-131 through 002-134",,Due,"ZA: No forms found for 2.17.6.6, only 2.17.6.2",,PA,
002-137,Technical Requirements (RFP Chapter 2),2.18 Intelligent Transportation Systems,2.18.5.5.4.6,ITS Operational Testing,"After system experiences no failures during 30 calendar day period, prepare and submit written report documenting test performed, test results, issues, corrective action, retest results",Submit final operational test report after 30-day failure-free period,After 30-day failure-free operational period,Handover,After 30-day failure-free operational period,Testing & Commissioning,Testing Documentation,Design-Builder,"Report documents successful 30 calendar day period with no failures; found via handover keywords: final, test, report",,Not Started,,,PA,
002-138,Technical Requirements (RFP Chapter 2),2.18 Intelligent Transportation Systems,2.18.5.7,Final Electrical Inspection,"The Design-Builder shall notify WSDOT when all electrical requirements have been met in accordance with these Technical Requirements, including field installations, testing and commissioning, training, and documentation, with a written statement, including the signature of the CQAM, that all equipment has been installed properly, started up, and is ready for final electrical inspection by WSDOT and the local agencies.",Notice of final electrical inspection,Prior to,Handover,Prior to final electrical inspection,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Found via handover keyword: as-built; part of final inspection documentation,,Not Started,,,PA,
002-139,Technical Requirements (RFP Chapter 2),2.18 Intelligent Transportation Systems,2.18.5.7,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit to WSDOT and the local agencies for Review and Comment the following documents: • Documentation including all tests, testing procedures, results, and corrections made",Submit testing documentation,Prior to,Handover,Prior to final electrical inspection,Testing & Commissioning,Project Documentation Package,Design-Builder,Part of final inspection submittal package; see also 002-137 and 002-139,,Not Started,,,PA,
002-140,Technical Requirements (RFP Chapter 2),2.18 Intelligent Transportation Systems,2.18.5.7,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit to WSDOT and the local agencies for Review and Comment the following documents: • Operation and maintenance manuals for all systems installed",Submit O&M manuals for all ITS systems,Prior to,Handover,Prior to final electrical inspection,Operations & Maintenance,Manuals,Design-Builder,Found via handover keyword: O&M manuals; part of final inspection documentation,,Not Started,,,PA,
002-140.1,Technical Requirements (RFP Chapter 2),2.18 Intelligent Transportation Systems,2.18.5.7,Final Electrical Inspection,"Prior to the final electrical inspection, the Design-Builder shall submit to WSDOT and the local agencies for Review and Comment the following documents: • As-Built Plans for the electrical Work",Submit As-Built Plans for electrical work,Prior to,Handover,Prior to final electrical inspection,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Found via handover keyword: as-built; part of final inspection documentation,,Not Started,,,PA,
002-141,Technical Requirements (RFP Chapter 2),2.18 Intelligent Transportation Systems,2.18.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: • ITS training documentation including training materials and recorded training video,Submit ITS training documentation and recorded video,Prior to,Substantial Completion,Prior to Substantial Completion,Training & Knowledge Transfer,Training Materials/Videos,Design-Builder,Part of multi-item submittal; see also 002-141 and 002-142; per Section 2.34,,Due,"ZA: No forms found for 2.18.6.9, only 2.18.6.3",,PA,
002-142,Technical Requirements (RFP Chapter 2),2.18 Intelligent Transportation Systems,2.18.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: • O&M manuals,Submit O&M manuals for ITS systems,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Manuals,Design-Builder,Part of multi-item submittal; see also 002-140 and 002-142; per Section 2.34,,Due,"ZA: No forms found for 2.18.6.9, only 2.18.6.3",,PA,
002-143,Technical Requirements (RFP Chapter 2),2.18 Intelligent Transportation Systems,2.18.6.9,Other Submittals,The Design-Builder shall submit the following items to WSDOT for Review and Comment prior to Substantial Completion in accordance with Section 2.34: • Operating software (including firmware) and documentation,Submit operating software and documentation,Prior to,Substantial Completion,Prior to Substantial Completion,Operations & Maintenance,Software/Firmware,Design-Builder,Part of multi-item submittal; see also 002-140 and 002-141; per Section 2.34,,Due,"ZA: No forms found for 2.18.6.9, only 2.18.6.3",,PA,
002-144,Technical Requirements (RFP Chapter 2),2.19 Signing,2.19.6.5,As-Built Plans,The Design-Builder shall submit As-Built Plans in accordance with Sections 2.12 and 2.28 and the As-Built Sign Inventory. The Design-Builder shall submit the As-Built Sign Inventory to WSDOT for Review and Comment prior to Substantial Completion.,Submit As-Built Sign Inventory to WSDOT,Prior to,Substantial Completion,Prior to Substantial Completion,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,"Includes 19 data fields: sign fabrication number, state route, mainline milepost, location, special milepost, direction of travel, direction sign is facing, side of road, sign message, sign height, sign width, background and letter colors, letter type, letter height, installation date, support type, support size, number of supports, sheeting type, sign sort number, action taken, reason for action. All locations shall be in mileposts.",,Pending,KW - Book 39.02  GRA -AB-00023,https://us.teambinder.com/Teambinder5/Integration/tbOpenItem.aspx?Box=100&Key=60532&ProjNo=W17068,PA,
002-147,Technical Requirements (RFP Chapter 2),2.22 Maintenance of Traffic (MOT),2.22.3.1.1,Work Zone Traffic Engineering Manager,The WTEM shall also be available for modifications to the phasing or MOT Plans through Physical Completion.,WTEM availability for MOT Plan modifications,Through,Physical Completion,Through Physical Completion,Administrative & Financial,Records,Design-Builder,WTEM must remain available throughout project duration for phasing and MOT Plan modifications,,In Progress,,,RB,
002-148,Technical Requirements (RFP Chapter 2),2.22 Maintenance of Traffic (MOT),2.22.4.2.1.1,Advance Signing,"The Design-Builder shall furnish and install two G24-501 (modified) signs with the Project hotline phone number within the Project Limits, one in the eastbound and one in the westbound directions of SR 520. The signs shall be installed within 30 Calendar Days of NTP, and prior to all other construction activity on the Project. The signs shall remain in place until Physical Completion.",Maintain G24-501 Project hotline signs,Until,Physical Completion,Until Physical Completion,Physical Work,Construction Activities,Design-Builder,Two signs required (one eastbound; one westbound SR 520); installed within 30 days of NTP,,In Progress,,,RB,
002-149,Technical Requirements (RFP Chapter 2),2.22 Maintenance of Traffic (MOT),2.22.4.3.1.2,Controlled Access,"To achieve Physical Completion in accordance with Section 1-08 of the General Provisions, the Design-Builder shall restore the area of the access Site to its original, pre-Contract, condition. Any damage to the traveled way, shoulders, auxiliary lanes, side slopes or other areas caused by the access shall be repaired.",Restore temporary access sites to original condition,To achieve,Physical Completion,To achieve Physical Completion,Physical Work,Construction Activities,Design-Builder,Includes repair of traveled way; shoulders; auxiliary lanes; side slopes damaged by construction access; removal of temporary access,,In Progress,,,RB,
002-150,Technical Requirements (RFP Chapter 2),2.22 Maintenance of Traffic (MOT),2.22.5.1,General,"The Design-Builder shall be responsible for all MOT starting when the Maintenance During Construction Period begins. The traffic control devices, including temporary and permanent signal systems, shall be continually and adequately monitored and maintained to ensure proper placement and working order, and to ensure the safe and efficient flow of all traffic through and adjacent to the Project. Such responsibility and maintenance shall continue till the day of Physical Completion.",Continue MOT responsibility and maintenance,Till,Physical Completion,Till Physical Completion,Physical Work,Construction Activities,Design-Builder,Traffic control devices and signal systems must be monitored and maintained; responsibility starts at Maintenance During Construction Period,,In Progress,,,RB,
002-151,Technical Requirements (RFP Chapter 2),2.22 Maintenance of Traffic (MOT),2.22.5.11,Video Record,"A drive-through video of all MOT devices shall be made each week, immediately after each accident causing injuries, and after each shift in MOT setup. The video recordings shall be saved digitally and maintained in a remote, fireproof location, and a log of the video recordings with dates and times shall be submitted to WSDOT for Review and Comment on a monthly basis. WSDOT shall have the right to review the video recordings at any time with 24 hours' notice to the Design-Builder. All video records shall be submitted to WSDOT at Physical Completion.",Submit all video records to WSDOT,At,Handover,At Physical Completion,Closeout/Final Records,Records,Design-Builder,Drive-through videos of MOT devices made weekly; after accidents; and after MOT setup shifts; maintained in remote fireproof location; found via handover keyword: video records,,Not Started,,,RB,
002-152,Technical Requirements (RFP Chapter 2),2.22 Maintenance of Traffic (MOT),2.22.6.7,Other Submittal Requirements,"A copy of the MOT diary shall be submitted to WSDOT on a monthly basis. At Physical Completion of the Project, the MOT diaries shall be delivered to and become the property of WSDOT.",Deliver MOT diaries to WSDOT,At,Handover,At Physical Completion,Physical Work,Records,Design-Builder,MOT diaries become property of WSDOT; monthly copies submitted during construction; found via handover keyword: diaries,,Not Started,,,RB,
